path,recommended_location,owner,category,owner_confidence,category_confidence,risk
2026-07-12.md,Review-Queue/Daily Note/2026-07-12.md,Uncertain,Daily Note,0.0,0.63,High
01-Dashboard/Home.md,AI-Systems/Career/Home.md,AI System,Career,0.98,0.98,Low
01-Dashboard/My-Goals.md,Titus-Vault/Goals/My-Goals.md,Titus,Goals,0.98,0.98,Low
01-Dashboard/My-Rules.md,Titus-Vault/Project/My-Rules.md,Titus,Project,0.98,0.79,Low
01-Dashboard/My-Voice.md,Review-Queue/Uncertain/My-Voice.md,Uncertain,Uncertain,0.0,0.0,High
01-Dashboard/Personal-Context.md,Family-Vault/Family/Personal-Context.md,Shared Family,Family,0.98,0.87,Low
02-Daily-Notes/2026-06-21.md,Titus-Vault/Knowledge/2026-06-21.md,Titus,Knowledge,0.98,0.98,Low
02-Daily-Notes/2026-07-07.md,Titus-Vault/Daily Note/2026-07-07.md,Titus,Daily Note,0.95,0.95,Low
02-Daily-Notes/2026-07-08.md,Titus-Vault/Career/2026-07-08.md,Titus,Career,0.98,0.98,Low
02-Daily-Notes/2026-07-09.md,Titus-Vault/Daily Note/2026-07-09.md,Titus,Daily Note,0.98,0.98,Low
02-Daily-Notes/2026-07-10.md,Titus-Vault/Daily Note/2026-07-10.md,Titus,Daily Note,0.98,0.98,Low
02-Daily-Notes/2026-07-11.md,Titus-Vault/Daily Note/2026-07-11.md,Titus,Daily Note,0.98,0.98,Low
02-Daily-Notes/2026-07-12.md,Titus-Vault/Daily Note/2026-07-12.md,Titus,Daily Note,0.87,0.95,Low
03-Businesses/Business-Ideas.md,Businesses/Business/Business-Ideas.md,Business,Business,0.98,0.98,Low
03-Businesses/Businesses.md,Businesses/Business/Businesses.md,Business,Business,0.98,0.98,Low
03-Businesses/CareNotes-Pro.md,Businesses/Product/CareNotes-Pro.md,Business,Product,0.98,0.98,Low
03-Businesses/Legacy-Businesses.md,Archive/Archive/Legacy-Businesses.md,Archive,Archive,0.98,0.98,Low
04-Products/Content-Income-System.md,Review-Queue/Uncertain/Content-Income-System.md,Uncertain,Uncertain,0.0,0.0,High
